DATE,Total_Sales,Sales_B1,Sales_B2,Sales_B3,Sales_B4,Total_Promos,Avg_Temp,Min_Temp,Max_Temp,Rainfall,Wind_Speed,Temp_Range,Is_Rainy,Temp_Category,Year,Month,DayOfWeek,DayName,IsWeekend,Season,MonthName,Correlation
02-01-2014,355,101,186,32,36,29,1.1,-3.1,6,0,24.1,9.1,0,Cold (<5°C),2014,1,3,Thursday,0,Winter,Jan,-0.082497809
03-01-2014,443,136,248,32,27,29,3.8,-2,10.5,0,19.1,12.5,0,Cold (<5°C),2014,1,4,Friday,0,Winter,Jan,
04-01-2014,565,162,264,94,45,30,11.5,3.5,20.7,0,28.8,17.2,0,Cool (5-15°C),2014,1,5,Saturday,1,Winter,Jan,
05-01-2014,259,106,106,18,29,24,2.9,-3.4,14.6,0,32.6,18,0,Cold (<5°C),2014,1,6,Sunday,1,Winter,Jan,
06-01-2014,121,47,54,9,11,23,-5.5,-9.7,-0.7,0,13.5,9,0,Cold (<5°C),2014,1,0,Monday,0,Winter,Jan,
07-01-2014,413,159,183,43,28,38,-0.2,-8.1,7.3,0,17.3,15.4,0,Cold (<5°C),2014,1,1,Tuesday,0,Winter,Jan,
08-01-2014,303,124,142,10,27,36,6.6,3.1,10.3,0,20.5,7.2,0,Cool (5-15°C),2014,1,2,Wednesday,0,Winter,Jan,
09-01-2014,349,112,184,26,27,32,10.8,9.7,13,0,10.9,3.3,0,Cool (5-15°C),2014,1,3,Thursday,0,Winter,Jan,
10-01-2014,393,154,162,31,46,36,16.4,10.1,20.6,0,17.5,10.5,0,Warm (15-25°C),2014,1,4,Friday,0,Winter,Jan,
11-01-2014,617,239,277,62,39,37,10.4,3.2,20,0,8.7,16.8,0,Cool (5-15°C),2014,1,5,Saturday,1,Winter,Jan,
12-01-2014,267,107,99,43,18,28,13,5.6,21,0,24.9,15.4,0,Cool (5-15°C),2014,1,6,Sunday,1,Winter,Jan,
13-01-2014,418,153,202,26,37,33,12.5,2.4,17.5,0,21,15.1,0,Cool (5-15°C),2014,1,0,Monday,0,Winter,Jan,
14-01-2014,400,150,208,24,18,34,9.2,0.1,18.5,0,14.5,18.4,0,Cool (5-15°C),2014,1,1,Tuesday,0,Winter,Jan,
15-01-2014,329,123,176,14,16,34,6,-2.7,14,0,10.1,16.7,0,Cool (5-15°C),2014,1,2,Wednesday,0,Winter,Jan,
16-01-2014,309,100,157,24,28,35,8.7,1.7,17.8,0,10.6,16.1,0,Cool (5-15°C),2014,1,3,Thursday,0,Winter,Jan,
17-01-2014,427,133,245,30,19,31,6.7,2.3,12.3,0,10.9,10,0,Cool (5-15°C),2014,1,4,Friday,0,Winter,Jan,
18-01-2014,689,250,345,58,36,40,8.9,0.3,19.6,0,12.8,19.3,0,Cool (5-15°C),2014,1,5,Saturday,1,Winter,Jan,
19-01-2014,257,97,130,18,12,26,8.7,-1.7,17.7,0,7.1,19.4,0,Cool (5-15°C),2014,1,6,Sunday,1,Winter,Jan,
20-01-2014,331,124,162,16,29,35,13.6,5.9,24.8,0,18.5,18.9,0,Cool (5-15°C),2014,1,0,Monday,0,Winter,Jan,
21-01-2014,318,109,173,7,29,34,6.2,0.8,10.5,0,15.6,9.7,0,Cool (5-15°C),2014,1,1,Tuesday,0,Winter,Jan,
22-01-2014,384,128,214,22,20,35,7.9,-0.1,16.9,0,10.2,17,0,Cool (5-15°C),2014,1,2,Wednesday,0,Winter,Jan,
23-01-2014,325,111,168,26,20,35,2.6,-2,8,0,32.2,10,0,Cold (<5°C),2014,1,3,Thursday,0,Winter,Jan,
24-01-2014,569,181,334,36,18,36,-0.9,-5,5.1,0,15,10.1,0,Cold (<5°C),2014,1,4,Friday,0,Winter,Jan,
25-01-2014,678,256,305,59,58,35,6.9,2.05,14.2,0,7.5,12.15,0,Cool (5-15°C),2014,1,5,Saturday,1,Winter,Jan,
26-01-2014,308,113,154,15,26,30,14.3,9.1,23.3,0,13.6,14.2,0,Cool (5-15°C),2014,1,6,Sunday,1,Winter,Jan,
27-01-2014,273,91,134,22,26,26,4.1,-0.7,9.7,0,30.5,10.4,0,Cold (<5°C),2014,1,0,Monday,0,Winter,Jan,
28-01-2014,382,135,212,15,20,28,-1.7,-5,2.6,0,18.5,7.6,0,Cold (<5°C),2014,1,1,Tuesday,0,Winter,Jan,
29-01-2014,366,120,202,22,22,29,-0.6,-9.2,7.3,0,12.1,16.5,0,Cold (<5°C),2014,1,2,Wednesday,0,Winter,Jan,
30-01-2014,843,144,147,532,20,44,6.3,-1.5,14.2,0,29.3,15.7,0,Cool (5-15°C),2014,1,3,Thursday,0,Winter,Jan,
31-01-2014,1128,181,289,623,35,48,17.1,11.7,24.4,0,29.9,12.7,0,Warm (15-25°C),2014,1,4,Friday,0,Winter,Jan,
01-02-2014,1494,302,410,746,36,46,13.9,7.5,17.7,0,20.9,10.2,0,Cool (5-15°C),2014,2,5,Saturday,1,Winter,Feb,
